title,description,event_link,price,display_photo,photos,time_zone,hosts,sponsors,address_line_1,city,province_state,postal_zip_code,country,lat,lng,contact_email,contact_website,contact_primary_phone,start_date,end_date
"Blue Rodeo: ""Lost Together"" - The 40th Anniversary Tour","Today, legendary alt-country rockers Blue Rodeo announced they'll be hitting the road for a brand-new Canadian tour, celebrating an incredible 40 years of music. Spanning cities from coast to coast, this milestone tour honours one of Canada's most beloved and enduring bands. From their roots in the Toronto club scene to becoming national icons, Blue Rodeo has spent four decades creating the soundtrack to countless Canadian lives — and they're not done yet. Joining them on all dates is acclaimed singer/songwriter Adam Baldwin, bringing his powerful live energy and East Coast spirit to the stage. Don't miss this unforgettable celebration of four decades of songs, stories, and the road in between.",https://www.tourismbarrie.com/festivals-events/details/2025/10/25/default-calendar/blue-rodeo-lost-together---the-40th-anniversary-tour,,https://www.tourismbarrie.com/images/default-source/2023-coe-images/1652573718.jpeg?sfvrsn=55de1813_1,"[""https://www.tourismbarrie.com/images/default-source/2023-coe-images/1652573718.jpeg?sfvrsn=55de1813_1""]",America/Toronto,"[""Blue Rodeo""]",,"Sadlon Arena, 555 Bayview Drive",Barrie,Ontario,L4N 3K3,Canada,,,info@tourismbarrie.com,https://tprocob.ticketpro.ca/en/pages/1652687055,(705) 739-9444,"October 24, 2025","October 24, 2025"
The Rocky Horror Picture Show (Movie Screening),"Let's Do the Time Warp... Again! Join us for the 50th Anniversary Celebration of The Rocky Horror Picture Show — the ultimate cult classic that broke all the rules and created a phenomenon! Slip into your fishnets, grab your toast, and get ready for a wild night of audience participation, iconic music, and absolute pleasure. Whether you're a die-hard Transylvanian or a curious first-timer, this golden anniversary promises to be louder, weirder, and more fabulous than ever. **Doors open at 7pm and the movie starts at 8pm** The full Rocky experience - patrons are free to yell, talk and dance along. You are encouraged to dress up, dance and sing along. Props are welcome (kits will be available for purchase, pending availability) - here is what you can bring: Bubbles (NO rice please!) for the wedding scene Newspapers to hold over your head when Brad and Janet are in the storm Toast/Melba toast (unbuttered) for when Frankie calls a toast at dinner Party horns for the end of the creation speech Rubber gloves for the creation speech (great sound effect if snapped in sync) Please be respectful of other patrons - NOTE this is an immersive film screening. Do not throw items at the screen or other patrons. Rated: R (Strictly 19+) Themed décor, delicious cocktails and mocktails, popcorn & concessions available for purchase before the film and during intermission in the lower lobby.",https://www.tourismbarrie.com/festivals-events/details/2025/10/25/default-calendar/monday-movies-at-five-points-theatre---barbie,,https://www.tourismbarrie.com/images/default-source/2023-coe-images/rockyhorrorpictureshow.png?sfvrsn=ead11813_1,"[""https://www.tourismbarrie.com/images/default-source/2023-coe-images/rockyhorrorpictureshow.png?sfvrsn=ead11813_1""]",America/Toronto,,,"Five Points Theatre, 1 Dunlop Street West",Barrie,Ontario,,Canada,,,,https://tprocob.ticketpro.ca/en/pages/1662899402,705-739-4228,"October 25, 2025","October 25, 2025"
Haunted Happenings in Miramichi,"Ghosts, zombies, legendary haunts, scary trails, corn mazes, parks and graveyards are waiting for you in Miramichi! Come to our many spooktacular events for the entire family and discover the mysterious side of Miramichi…if you dare! Events are planned in various locations, including Wilson’s Point Cemetery, French Fort Cove, Queen Elizabeth Park as well as in Upper Blackville and Williamstown.",https://tourismnewbrunswick.ca/festivals-events/haunted-happenings-miramichi,,https://tourismnewbrunswick.ca/sites/default/files/styles/homepage_hero/public/images/events/wilsonspointnighthaunted.jpg,"[""https://tourismnewbrunswick.ca/sites/default/files/images/events/scary-beaverbrook-house-miramichi.png"", ""https://tourismnewbrunswick.ca/sites/default/files/images/events/wilsonspoint-cemetary.png"", ""https://tourismnewbrunswick.ca/sites/default/files/images/events/headless-nun-french-fort-cove.png""]",America/Moncton,,,Various locations,Miramichi,New Brunswick,,Canada,,,,https://www.discovermiramichi.com/events,,"Sun, Sep 28, 2025","Fri, Oct 31, 2025"
New Maryland Halloween House,"Family of 3 running a walk through display located in the Springwater Subdivision of New Maryland, near Fredericton, during the Halloween season. Thursday/Friday/Saturday nights from 6:30pm to 8:30pm (weather permitting). $5 per group of up to 5 people (includes 1 free raffle ticket for prizes donated by local vendors). More raffle tickets are $5 each. Special charity nights held Friday & Saturday October 24-25 from 6pm to 9pm in support of Mothers Against Drunk Driving.",https://tourismnewbrunswick.ca/festivals-events/new-maryland-halloween-house,$5 per group of up to 5 people,https://tourismnewbrunswick.ca/sites/default/files/styles/homepage_hero/public/images/events/house-3_0.jpg,"[""https://tourismnewbrunswick.ca/sites/default/files/images/events/house-1.jpg"", ""https://tourismnewbrunswick.ca/sites/default/files/images/events/house-2.jpg"", ""https://tourismnewbrunswick.ca/sites/default/files/images/events/house-3.jpg""]",America/Moncton,"[""Family of 3""]","[""local vendors""]",37 Cains Brook Lane,New Maryland,NB,,Canada,,,,https://www.facebook.com/newmarylandhalloweenhouse,,"Thu, Oct 9, 2025","Sat, Oct 25, 2025"
Rockwood Park Haunted Campground,"Join us for a spine-chilling experience at Rockwood Park Haunted Campground during the second half of October. Pick the Low Scare or Heart-pounding Scare option and prepare yourself for a night filled with eerie encounters, terrifying trails, and bone-chilling surprises.",https://tourismnewbrunswick.ca/festivals-events/rockwood-park-haunted-campground,,https://tourismnewbrunswick.ca/sites/default/files/styles/homepage_hero/public/images/events/rockwoodparkhauntedcampground_resized.jpg,"[""https://tourismnewbrunswick.ca/themes/custom/tourism/assets/images/markers/marker.png"", ""https://maps.gstatic.com/mapfiles/transparent.png""]",America/Moncton,,,Rockwood Park Campground 142 Lake Drive South,Saint John,NB,,Canada,,,,https://rockwoodparkcampground.com/campground/activities,,"Wed, Oct 15, 2025","Sun, Oct 26, 2025"
Parlures d'icitte Storytelling Festival,"Parlures d'icitte is the only Francophone storytelling festival in the Maritimes. Every year it brings together national and even international storytellers who take young and old on a journey in a variety of activities! Shows, storytelling meals, treasure hunts, mystery evenings and many more.",https://tourismnewbrunswick.ca/festivals-events/parlures-dicitte,,https://tourismnewbrunswick.ca/sites/default/files/styles/homepage_hero/public/images/events/image.png,"[""https://tourismnewbrunswick.ca/sites/default/files/images/events/Festival%20Parlures%20d%27icittes%202024%20-%20verger.jpg"", ""https://tourismnewbrunswick.ca/sites/default/files/images/events/Festival%20Parlures%20d%27icittes%202024%20-%20enfants.jpg"", ""https://tourismnewbrunswick.ca/sites/default/files/images/events/Festival%20Parlures%20d%27icittes%202024%20-%20speaker.jpg""]",,,,"580, Centrale Street",Memramcook,NB,,Canada,,,,https://www.culturememramcook.ca/festival-parlures-d-icitte,,"Sat, Oct 18, 2025","Sat, Oct 25, 2025"
Boo at the Zoo,"A spooktacular family tradition at the Magnetic Hill Zoo! Step into our 40-acre park transformed with Halloween magic. From silly and spooky decorations to hair-raising haunted venues, there’s something for everyone—whether you’re a little pumpkin 🎃 or a full-on thrill seeker. So get your tickets and don’t miss your chance to experience the wildest thrills in town!",https://tourismnewbrunswick.ca/festivals-events/boo-zoo,,https://tourismnewbrunswick.ca/sites/default/files/styles/homepage_hero/public/images/events/Boo%20at%20the%20Zoo-88.jpg,"[""https://tourismnewbrunswick.ca/sites/default/files/images/events/boo-at-the-zoo-5.jpg"", ""https://tourismnewbrunswick.ca/sites/default/files/images/events/boo-at-the-zoo-84.jpg"", ""https://tourismnewbrunswick.ca/sites/default/files/images/events/boo-at-the-zoo-88.jpg"", ""https://tourismnewbrunswick.ca/sites/default/files/images/events/boo-at-the-zoo-92.jpg"", ""https://tourismnewbrunswick.ca/sites/default/files/images/events/boo-at-the-zoo-94.jpg"", ""https://tourismnewbrunswick.ca/sites/default/files/images/events/boo-at-the-zoo-16.jpg"", ""https://tourismnewbrunswick.ca/sites/default/files/images/events/boo-at-the-zoo-18.jpg"", ""https://tourismnewbrunswick.ca/sites/default/files/images/events/boo-at-the-zoo-24.jpg"", ""https://tourismnewbrunswick.ca/sites/default/files/images/events/boo-at-the-zoo-101.jpg""]",America/Moncton,,,125 Magic Mountain Rd.,Moncton,NB,,Canada,,,,https://www.zoodemagnetichillzoo.ca/boo-at-the-zoo,,"Sat, Oct 18, 2025","Sun, Oct 26, 2025"
Folk Racines Festival,"Folk Racines Festival celebrates farming, rural Acadie and harvest time in Rogersville. There is something for everyone: cultural and artistic activities, activities for children, rural university, workshops, tastings, open day at the farm and great food!",https://tourismnewbrunswick.ca/festivals-events/festival-folk-racines,,https://tourismnewbrunswick.ca/sites/default/files/styles/homepage_hero/public/images/events/361096917_668142008685178_7675357810267621271_n%281%29.jpg,"[""https://tourismnewbrunswick.ca/sites/default/files/images/events/Festival%20Folk%20Racine%20-%20sign.jpeg"", ""https://tourismnewbrunswick.ca/sites/default/files/images/events/244644103_228538622647568_6476496713270518037_n.jpg"", ""https://tourismnewbrunswick.ca/sites/default/files/images/events/Festival%20Folk%20Racine%20-%20regeneration.jpeg"", ""https://tourismnewbrunswick.ca/sites/default/files/images/events/Festival%20Folk%20Racine%20-%20event2.jpg"", ""https://tourismnewbrunswick.ca/sites/default/files/images/events/Festival%20Folk%20Racine%20-%20event.jpg""]",America/Moncton,,,1312 Pleasant Ridge Rd.,Rogersville,NB,,Canada,,,,https://www.facebook.com/festivalfolkracines,,"Mon, Oct 20, 2025","Sun, Oct 26, 2025"
FearFest in Grand Falls,"Celebrate Halloween in Grand Falls with a magical stroll along the Pumpkin Trail, where more than 400 artistically decorated pumpkins, live characters, music, and food trucks create a festive fall wonderland. Then, test your courage in the Haunted House, a thrilling maze of spooky surprises and eerie encounters, complete with a photo booth and canteen treats—perfect Halloween fun for all ages!",https://tourismnewbrunswick.ca/festivals-events/fearfest-grand-falls,,https://tourismnewbrunswick.ca/sites/default/files/styles/homepage_hero/public/images/events/GrandFallsSentierCItrouilles.jpg,"[""https://tourismnewbrunswick.ca/sites/default/files/images/events/Haunted%20House%20Grand%20Falls.jpg"", ""https://tourismnewbrunswick.ca/sites/default/files/images/events/Pumpkin%20Trail%20Grand%20Falls.jpg"", ""https://tourismnewbrunswick.ca/sites/default/files/images/events/Pumpkin%20Trail%20Grand%20Falls%20Night.jpg""]",America/Moncton,,,Various locations,Grand Falls,NB,,Canada,,,,https://www.grandsault.com/en/festipeur,,"Wed, Oct 22, 2025","Sun, Oct 26, 2025"
Semaine Music·Musique NB Week,"Taking place in Moncton, New Brunswick, the Semaine Music·Musique NB Week is three days of showcases, conferences and awards. Discover (or re-discover) amazing emerging and established New Brunswick musical talents.",https://tourismnewbrunswick.ca/festivals-events/semaine-musicmusique-nb-week,,https://tourismnewbrunswick.ca/sites/default/files/styles/homepage_hero/public/images/events/lpc_3155_0.jpg,"[""https://tourismnewbrunswick.ca/sites/default/files/images/events/lpc_4831.jpg"", ""https://tourismnewbrunswick.ca/sites/default/files/images/events/lpc_2978.jpg"", ""https://tourismnewbrunswick.ca/sites/default/files/images/events/img_9588.jpg"", ""https://tourismnewbrunswick.ca/sites/default/files/images/events/34.jpg"", ""https://tourismnewbrunswick.ca/sites/default/files/images/events/45.jpg""]",America/Moncton,,,"140, Botsford St.",Moncton,NB,,Canada,,,,https://www.musicnb.org/en/semaine-mnb-week/semaine-mnb-week-2025,,"Thu, Oct 23, 2025","Sat, Oct 25, 2025"
Dia de los Muertos Saint John,"Enjoy ballet performances, art installations, live music, and much more. Don't miss out on this unique celebration of culture and Mexican heritage! Dia de los Muertos is a traditional Mexican festival that celebrates art, culture, and community while honouring those that have come before us. The event is a welcoming experience that is built on diversity and inclusion, and adds a new layer to Saint John’s urban vibrancy.",https://tourismnewbrunswick.ca/festivals-events/dia-de-los-muertos-saint-john-0,,https://tourismnewbrunswick.ca/sites/default/files/styles/homepage_hero/public/images/events/dia-de-los-muertos-saint-john-1_3.jpg,"[""https://tourismnewbrunswick.ca/sites/default/files/styles/content/public/images/events/dia-de-los-muertos-saint-john-2_3.jpg""]",America/Moncton,,,Grannan Street,Saint John,NB,,Canada,,,,https://www.diadelosmuertossj.com/,,"October 25, 2025","October 25, 2025"
Choral Fest,"Every year, singers from New Brunswick and around the country gather at the New Brunswick Choral Federation’s Choral Fest to rehearse and perform a significant work under one of Canada’s leading choral conductors. Choral Fest 2025 will feature “A Season to Sing,” a choral reimagining by British composer Joanna Forbes l’Estrange of Vivaldi‘s beloved and timeless The Four Seasons. Come Sing With Us!",https://tourismnewbrunswick.ca/festivals-events/choral-fest,,https://tourismnewbrunswick.ca/sites/default/files/styles/homepage_hero/public/images/events/ChoralFest.jpg,"[""https://tourismnewbrunswick.ca/sites/default/files/images/events/sar_6825.jpg"", ""https://tourismnewbrunswick.ca/sites/default/files/images/events/sar_6839.jpg"", ""https://tourismnewbrunswick.ca/sites/default/files/images/events/sar_6850.jpg""]",America/Moncton,"[""New Brunswick Choral Federation""]",,Saint Paul’s United Church 4 Morrison Avenue,Sussex,NB,,Canada,,,,https://nbcfsite.wordpress.com/choral-fest/,,"Fri, Oct 24, 2025","Sun, Oct 26, 2025"
FrancoFête en Acadie,"The FrancoFête en Acadie is an annual Acadian and Francophone performing arts event bringing together presenters, artists and professionals in the sector as well as the public. During this event produced by RADARTS, an organization promoting francophone performing arts throughout the Atlantic provinces, everyone is invited to enjoy a selection of quality showcases and shows.",https://tourismnewbrunswick.ca/festivals-events/francofete-en-acadie,,https://tourismnewbrunswick.ca/sites/default/files/styles/homepage_hero/public/images/events/francofete-logo.jpg,"[""https://tourismnewbrunswick.ca/sites/default/files/images/events/francofete.jpg""]",America/Moncton,"[""RADARTS""]",,331 Acadie Avenue,Dieppe,New Brunswick,,Canada,,,,https://www.radarts.ca/francofete-en-acadie,,"Tue, Nov 4, 2025","Sun, Nov 9, 2025"
Haunted Trails at Daly Point Nature Reserve,Enjoy Halloween activities at Daly Point Nature Reserve in Bathurst! Families are invited to walk the trails in costume and receive Halloween treats. Join us after dark to get frighten in the trails at Daly Point! Dressed up volunteers there to scare you throughout the trails. Come alone or in a group and sign in before accessing the trails.,https://tourismnewbrunswick.ca/festivals-events/haunted-trails-daly-point-nature-reserve,,https://tourismnewbrunswick.ca/sites/default/files/styles/homepage_hero/public/images/events/Daly%20Point%20Fall.jpg,,America/Moncton,,,2105 Caron Drive,Bathurst,NB,,Canada,,,,https://www.facebook.com/DalyPointNature,,"Sat, Oct 25, 2025","Sat, Oct 25, 2025"
Silver Wave Film Festival,"Over 100 films by local, national, and international filmmakers; workshops, panels, parties, and guest filmmakers. Every year’s event offers a showcase of multicultural, international, French and English programming of all genres and lengths and a comprehensive industry series which brings experienced, emerging producers and filmmakers together.",https://tourismnewbrunswick.ca/festivals-events/silver-wave-film-festival,,https://tourismnewbrunswick.ca/sites/default/files/styles/homepage_hero/public/images/events/swff-photo-2024_0.png,"[""https://tourismnewbrunswick.ca/sites/default/files/images/events/swff-photo-2-2024.jpg"", ""https://tourismnewbrunswick.ca/sites/default/files/images/events/Silver%20Wave%20Film%20Festival%20Auditorium.jpg"", ""https://tourismnewbrunswick.ca/sites/default/files/images/events/Silver%20Wave%20Film%20Festival.jpg""]",America/Regina,,,732 Charlotte Street,Fredericton,NB,,Canada,,,,https://www.swfilmfest.com/,,"Thu, Nov 6, 2025","Thu, Nov 13, 2025"
